posto,base,1,2,3,4,5,6,7,8,9,10,11,12
202,201,0.575,0.475,0.539,0.465,0.371,0.485,0.441,0.369,0.390,0.430,0.472,0.413
203,201,1.476,1.449,1.477,1.453,1.320,1.419,1.436,1.462,1.477,1.467,1.457,1.457
204,280,0.998,0.998,0.997,0.997,0.997,0.997,0.997,0.997,0.998,0.996,1.000,1.000
206,25,1.149,1.152,1.155,1.166,1.166,1.167,1.172,1.189,1.190,1.182,1.167,1.154
207,25,1.168,1.173,1.176,1.190,1.190,1.192,1.196,1.220,1.223,1.203,1.190,1.173
217,92,0.735,0.739,0.731,0.708,0.694,0.687,0.706,0.704,0.710,0.704,0.701,0.709
222,77,1.293,1.288,1.291,1.350,1.400,1.394,1.350,1.349,1.322,1.360,1.368,1.342
227,229,0.394,0.376,0.362,0.357,0.385,0.451,0.510,0.564,0.598,0.550,0.480,0.425
228,229,0.428,0.410,0.395,0.391,0.421,0.488,0.549,0.602,0.638,0.591,0.519,0.462
230,229,1.009,1.009,1.009,1.009,1.009,1.009,1.010,1.009,1.009,1.009,1.010,1.009
241,294,1.089,1.092,1.088,1.095,1.091,1.091,1.082,1.080,1.086,1.088,1.087,1.086
248,247,1.036,1.039,1.037,1.040,1.039,1.040,1.039,1.042,1.039,1.043,1.042,1.036
249,47,1.569,1.504,1.471,1.505,1.590,1.592,1.596,1.581,1.627,1.634,1.586,1.538
251,24,0.355,0.358,0.376,0.388,0.385,0.377,0.371,0.365,0.355,0.353,0.358,0.368
252,259,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
253,270,1.173,1.178,1.194,1.225,1.260,1.214,1.213,1.224,1.171,1.151,1.207,1.195
261,247,1.108,1.112,1.105,1.112,1.116,1.114,1.110,1.111,1.113,1.114,1.108,1.101
263,134,1.045,1.044,1.044,1.046,1.045,1.044,1.046,1.046,1.046,1.043,1.039,1.034
273,257,1.334,1.301,1.447,1.403,1.479,1.386,1.281,1.206,1.073,1.252,1.337,1.247
284,98,1.779,1.768,1.636,1.919,2.000,1.886,1.902,1.814,1.902,2.002,1.875,1.888
285,287,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
297,280,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.011,1.010,1.009
301,119,0.822,0.812,0.763,0.806,0.857,0.750,0.802,0.833,0.774,0.800,0.773,0.823
303,201,0.590,0.480,0.550,0.470,0.350,0.470,0.420,0.390,0.390,0.460,0.500,0.430
306,201,0.594,0.484,0.547,0.470,0.349,0.469,0.423,0.387,0.386,0.460,0.505,0.426
320,119,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
